raw_name,program_family,program_full,level
BCA,BCA,Bachelor of Computer Application,UG
Bachelor of Computer Application (BCA),BCA,Bachelor of Computer Application,UG
B.C.A. (Visual Arts),BCA_VISUAL_ARTS,Bachelor of Computer Application (Visual Arts),UG
BBA,BBA,Bachelor of Business Administration,UG
Bachelor of Business Administration in Computer Application,BBA_CA,Bachelor of Business Administration (Computer Application),UG
Bachelor of Business Administration in International Business,BBA_IB,Bachelor of Business Administration (International Business),UG
Bachelor of Business Administration in Hospitality and Facilities Management,BBA_HFM,Bachelor of Business Administration (Hospitality and Facilities Management),UG
BBA(Innovation and Entrepreneurship),BBA_IE,Bachelor of Business Administration (Innovation and Entrepreneurship),UG
BBA (Business Administration),BBA,Bachelor of Business Administration,UG
B.B.A. (Data Analytics),BBA_DA,Bachelor of Business Administration (Data Analytics),UG
BBA (Aviation Management),BBA_AV,Bachelor of Business Administration (Aviation Management),UG
BBA (Hospitality and Tourism Management),BBA_HTM,Bachelor of Business Administration (Hospitality and Tourism Management),UG
B.B.A.- (Fintech),BBA_FT,Bachelor of Business Administration (Fintech),UG
BMS,BMS,Bachelor of Management Studies,UG
BMS (Hospital Administration),BMS_HA,Bachelor of Management Studies (Hospital Administration),UG
BMS (Computer Application and Business Analytics),BMS_CA,Bachelor of Management Studies (Computer Application and Business Analytics),UG
BMS (E-Commerce and Supply Chain Management),BMS_EC,Bachelor of Management Studies (E-Commerce and Supply Chain Management),UG
BMS ( Marketing Management),BMS_MM,Bachelor of Management Studies (Marketing Management),UG
BMS (Product and Industrial Management),BMS_PIM,Bachelor of Management Studies (Product and Industrial Management),UG
M. B. A.,MBA,Master of Business Administration,PG
MBA(FIN TECH),MBA,Master of Business Administration,PG
MBA(PROJECT MANAGEMENT),MBA,Master of Business Administration,PG
MBA (Business Analytics),MBA,Master of Business Administration,PG
MBA ( Finance ),MBA,Master of Business Administration,PG
M.B.A.(Information Technology),MBA,Master of Business Administration,PG
M.B.A.(Marketing Management),MBA,Master of Business Administration,PG
MBA ( Human Resource Development),MBA,Master of Business Administration,PG
M.B.A.(Human Resource Management),MBA,Master of Business Administration,PG
(MBA)Pharmaceutical Management,MBA,Master of Business Administration,PG
M.B.A. (General),MBA,Master of Business Administration,PG
(MBA)Agribusiness Management,MBA,Master of Business Administration,PG
MBA (Business Administration),MBA,Master of Business Administration,PG
MBA (Family Managed Business),MBA,Master of Business Administration,PG
MBA (Health Care and Hospital Management),MBA,Master of Business Administration,PG
M.B.A.(Marketing),MBA,Master of Business Administration,PG
MBA (Digital Marketing),MBA,Master of Business Administration,PG
MBA Information Technology Systems Management,MBA,Master of Business Administration,PG
MBA (Marketing and Finance),MBA,Master of Business Administration,PG
MBA (Banking and Financial Services),MBA,Master of Business Administration,PG
MBA (Environment),MBA,Master of Business Administration,PG
"MBA - Innovation, Entrepreneurship and Venture Development (IEV)",MBA,Master of Business Administration,PG
MBA (Financial Management),MBA,Master of Business Administration,PG
Digital Marketing,MBA,Master of Business Administration,PG
M. M. S.,MMS,Master of Management Studies,PG
Master in Computer Application,MCA,Master of Computer Application,PG
Master of Computer Applications,MCA,Master of Computer Application,PG
MASTER OF COMPUTER APPLICATIONS (INTEGRATED),MCA_INTEGRATED,Master of Computer Application (Integrated),Integrated
MASTER OF BUSINESS ADMINISTRATION (INTEGRATED),MBA_INTEGRATED,Master of Business Administration (Integrated),Integrated
BBA/MBA (Integrated),MBA_INTEGRATED,Master of Business Administration (Integrated),Integrated
BBA/MBA,MBA_INTEGRATED,Master of Business Administration (Integrated),Integrated
BMS-MMS (Integrated),MMS_INTEGRATED,Master of Management Studies (Integrated),Integrated
